광역	시군구	읍면동	투표소	선거인수	투표인수	기권수	무효표	계	더불어민주당	자유한국당	국민의당	바른정당	정의당	새누리당	경제애국당	국민대통합당	늘푸른한국당	민중연합당	한국국민당	혹익당	무소속
서울특별시	용산구	청파동	소계	15405	10843	4562	35	10808	4874	2158	2327	699	700	20	0	6	2	6	3	4	9
서울특별시	용산구	원효로제1동	소계	10629	8174	2455	26	8148	3519	1591	1732	718	563	8	1	2	0	7	2	2	3
서울특별시	용산구	원효로제2동	소계	10958	8477	2481	26	8451	3531	1862	1832	659	528	13	0	7	1	4	4	4	6
서울특별시	용산구	효창동	소계	7362	5829	1533	9	5820	2378	1260	1355	417	391	10	1	2	1	2	1	1	1
서울특별시	용산구	용문동	소계	9628	7494	2134	25	7469	3147	1546	1723	571	450	13	2	3	1	6	1	1	5
서울특별시	용산구	한강로동	소계	11551	8011	3540	21	7990	2709	2251	1890	706	405	12	0	6	4	2	1	1	3
서울특별시	용산구	이촌제1동	소계	20363	15704	4659	36	15668	4860	4854	3329	1862	723	24	1	2	2	2	1	6	2
서울특별시	용산구	이촌제2동	소계	7068	5515	1553	21	5494	2023	1439	1269	432	314	10	0	2	1	1	2	0	1
서울특별시	용산구	이태원제1동	소계	6308	4062	2246	6	4056	1401	1219	822	306	294	5	1	2	0	2	2	0	2
서울특별시	용산구	이태원제2동	소계	7614	5265	2349	17	5248	2031	1320	1087	388	398	12	0	6	0	0	0	2	4
서울특별시	용산구	한남동	소계	16042	10380	5662	32	10348	3846	2767	2223	766	693	27	1	6	1	5	3	4	6
서울특별시	용산구	서빙고동	소계	9503	7115	2388	27	7088	1928	2393	1678	708	358	12	0	1	0	2	1	3	4
서울특별시	용산구	보광동	소계	13004	8988	4016	40	8948	3413	2180	2079	573	662	15	0	5	4	6	2	5	4
서울특별시	성동구	거소·선상투표	거소·선상투표	358	342	16	8	334	125	54	115	24	10	2	1	0	0	1	1	1	0
서울특별시	성동구	관외사전투표	관외사전투표	23632	23616	16	101	23515	11080	3532	4912	2033	1859	33	3	9	5	12	10	5	22
서울특별시	성동구	재외투표	재외투표	3007	2309	698	9	2300	1314	183	378	111	296	10	0	1	1	1	1	2	2
서울특별시	성동구	금호1가동	소계	9945	7557	2388	25	7532	3131	1634	1774	533	433	15	1	0	0	3	0	4	4
서울특별시	성동구	금호2·3가동	소계	18363	13657	4706	48	13609	5609	2760	3258	1112	836	12	2	6	1	3	0	2	8
서울특별시	성동구	금호4가동	소계	11162	8518	2644	22	8496	3516	1849	1926	722	446	10	0	4	4	2	3	6	8
서울특별시	성동구	옥수동	소계	19958	15635	4323	32	15603	6106	3621	3401	1567	862	28	1	4	2	3	1	2	5
