광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	정당	득표수
서울특별시	1100	은평구	367295	173524	171065	2459	193771	민주노동당	16723
서울특별시	1100	서대문구	277490	137876	135768	2108	139614	민주노동당	14051
서울특별시	1100	마포구	312630	154433	152070	2363	158197	민주노동당	17072
서울특별시	1100	양천구	374034	193203	190494	2709	180831	민주노동당	18212
서울특별시	1100	강서구	430027	211558	208632	2926	218469	민주노동당	22370
서울특별시	1100	구로구	327895	164412	161567	2845	163483	민주노동당	18701
서울특별시	1100	금천구	199986	97773	96108	1665	102213	민주노동당	10555
서울특별시	1100	영등포구	325010	163783	161375	2408	161227	민주노동당	14769
서울특별시	1100	동작구	328129	166421	164200	2221	161708	민주노동당	17326
서울특별시	1100	관악구	431791	210835	208183	2652	220956	민주노동당	29077
서울특별시	1100	서초구	316852	164432	162438	1994	152420	민주노동당	11508
서울특별시	1100	강남구	433889	216748	214780	1968	217141	민주노동당	13904
서울특별시	1100	송파구	467011	237296	234803	2493	229715	민주노동당	20200
서울특별시	1100	강동구	356774	175768	173429	2339	181006	민주노동당	15477
서울특별시	1100	종로구	134603	71343	70174	1169	63260	국민중심당	297
서울특별시	1100	중구	107164	55367	54312	1055	51797	국민중심당	213
서울특별시	1100	용산구	187461	95809	94453	1356	91652	국민중심당	434
서울특별시	1100	성동구	266956	131928	129989	1939	135028	국민중심당	504
서울특별시	1100	광진구	293308	141078	139184	1894	152230	국민중심당	865
서울특별시	1100	동대문구	305097	153566	151300	2266	151531	국민중심당	644
서울특별시	1100	중랑구	332783	155618	153529	2089	177165	국민중심당	753
서울특별시	1100	성북구	369617	183341	180779	2562	186276	국민중심당	827
서울특별시	1100	강북구	280448	133966	132151	1815	146482	국민중심당	601
서울특별시	1100	도봉구	291852	147644	145962	1682	144208	국민중심당	802
서울특별시	1100	노원구	465546	239942	236926	3016	225604	국민중심당	1403
서울특별시	1100	은평구	367295	173524	171065	2459	193771	국민중심당	924
서울특별시	1100	서대문구	277490	137876	135768	2108	139614	국민중심당	625
서울특별시	1100	마포구	312630	154433	152070	2363	158197	국민중심당	651
서울특별시	1100	양천구	374034	193203	190494	2709	180831	국민중심당	1043
서울특별시	1100	강서구	430027	211558	208632	2926	218469	국민중심당	1070
서울특별시	1100	구로구	327895	164412	161567	2845	163483	국민중심당	1087
서울특별시	1100	금천구	199986	97773	96108	1665	102213	국민중심당	775
서울특별시	1100	영등포구	325010	163783	161375	2408	161227	국민중심당	892
서울특별시	1100	동작구	328129	166421	164200	2221	161708	국민중심당	863
서울특별시	1100	관악구	431791	210835	208183	2652	220956	국민중심당	1159
서울특별시	1100	서초구	316852	164432	162438	1994	152420	국민중심당	576
서울특별시	1100	강남구	433889	216748	214780	1968	217141	국민중심당	654
서울특별시	1100	송파구	467011	237296	234803	2493	229715	국민중심당	901
서울특별시	1100	강동구	356774	175768	173429	2339	181006	국민중심당	959
서울특별시	1100	종로구	134603	71343	70174	1169	63260	시민당	164
서울특별시	1100	중구	107164	55367	54312	1055	51797	시민당	226
서울특별시	1100	용산구	187461	95809	94453	1356	91652	시민당	238
서울특별시	1100	성동구	266956	131928	129989	1939	135028	시민당	249
서울특별시	1100	광진구	293308	141078	139184	1894	152230	시민당	361
서울특별시	1100	동대문구	305097	153566	151300	2266	151531	시민당	299
서울특별시	1100	중랑구	332783	155618	153529	2089	177165	시민당	339
서울특별시	1100	성북구	369617	183341	180779	2562	186276	시민당	313
서울특별시	1100	강북구	280448	133966	132151	1815	146482	시민당	383
서울특별시	1100	도봉구	291852	147644	145962	1682	144208	시민당	214
서울특별시	1100	노원구	465546	239942	236926	3016	225604	시민당	376
서울특별시	1100	은평구	367295	173524	171065	2459	193771	시민당	335
서울특별시	1100	서대문구	277490	137876	135768	2108	139614	시민당	215
서울특별시	1100	마포구	312630	154433	152070	2363	158197	시민당	584
서울특별시	1100	양천구	374034	193203	190494	2709	180831	시민당	385
서울특별시	1100	강서구	430027	211558	208632	2926	218469	시민당	420
서울특별시	1100	구로구	327895	164412	161567	2845	163483	시민당	262
서울특별시	1100	금천구	199986	97773	96108	1665	102213	시민당	206
서울특별시	1100	영등포구	325010	163783	161375	2408	161227	시민당	456
서울특별시	1100	동작구	328129	166421	164200	2221	161708	시민당	267
서울특별시	1100	관악구	431791	210835	208183	2652	220956	시민당	389
서울특별시	1100	서초구	316852	164432	162438	1994	152420	시민당	152
서울특별시	1100	강남구	433889	216748	214780	1968	217141	시민당	219
서울특별시	1100	송파구	467011	237296	234803	2493	229715	시민당	271
서울특별시	1100	강동구	356774	175768	173429	2339	181006	시민당	260
서울특별시	1100	종로구	134603	71343	70174	1169	63260	한미준	92
서울특별시	1100	중구	107164	55367	54312	1055	51797	한미준	115
서울특별시	1100	용산구	187461	95809	94453	1356	91652	한미준	152
서울특별시	1100	성동구	266956	131928	129989	1939	135028	한미준	177
서울특별시	1100	광진구	293308	141078	139184	1894	152230	한미준	136
서울특별시	1100	동대문구	305097	153566	151300	2266	151531	한미준	191
서울특별시	1100	중랑구	332783	155618	153529	2089	177165	한미준	156
서울특별시	1100	성북구	369617	183341	180779	2562	186276	한미준	248
서울특별시	1100	강북구	280448	133966	132151	1815	146482	한미준	208
서울특별시	1100	도봉구	291852	147644	145962	1682	144208	한미준	123
서울특별시	1100	노원구	465546	239942	236926	3016	225604	한미준	374
서울특별시	1100	은평구	367295	173524	171065	2459	193771	한미준	239
서울특별시	1100	서대문구	277490	137876	135768	2108	139614	한미준	134
서울특별시	1100	마포구	312630	154433	152070	2363	158197	한미준	177
서울특별시	1100	양천구	374034	193203	190494	2709	180831	한미준	573
서울특별시	1100	강서구	430027	211558	208632	2926	218469	한미준	490
서울특별시	1100	구로구	327895	164412	161567	2845	163483	한미준	193
서울특별시	1100	금천구	199986	97773	96108	1665	102213	한미준	150
서울특별시	1100	영등포구	325010	163783	161375	2408	161227	한미준	216
서울특별시	1100	동작구	328129	166421	164200	2221	161708	한미준	185
서울특별시	1100	관악구	431791	210835	208183	2652	220956	한미준	203
서울특별시	1100	서초구	316852	164432	162438	1994	152420	한미준	123
서울특별시	1100	강남구	433889	216748	214780	1968	217141	한미준	135
서울특별시	1100	송파구	467011	237296	234803	2493	229715	한미준	177
서울특별시	1100	강동구	356774	175768	173429	2339	181006	한미준	145
서울특별시	1100	종로구	134603	71343	70174	1169	63260	희망사회당	198
서울특별시	1100	중구	107164	55367	54312	1055	51797	희망사회당	154
서울특별시	1100	용산구	187461	95809	94453	1356	91652	희망사회당	209
서울특별시	1100	성동구	266956	131928	129989	1939	135028	희망사회당	378
서울특별시	1100	광진구	293308	141078	139184	1894	152230	희망사회당	264
서울특별시	1100	동대문구	305097	153566	151300	2266	151531	희망사회당	516
서울특별시	1100	중랑구	332783	155618	153529	2089	177165	희망사회당	406
