광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	국민실향안보당	기독당	문화예술당	민주노동당	시민당	신미래당	자유선진당	직능연합당	진보신당	창조한국당	친박연대	통합민주당	평화통일가정당	한국사회당	한나라당
전라남도	4600	영광군	47106	27030	26209	821	20076	881	749	69	2461	63	31	282	44	327	586	507	17786	553	373	1497
전라남도	4600	함평군	31636	18759	18133	626	12877	1139	607	54	1234	46	32	162	21	216	295	216	12169	948	208	786
전라남도	4600	신안군	39302	22658	21728	930	16644	130	2669	227	1829	91	48	240	56	176	354	368	13378	435	187	1540
경상북도	4700	포항시북구	191854	97748	96060	1688	94106	950	1381	94	3341	70	43	1706	76	2222	2204	11131	5414	1065	205	66158
경상북도	4700	포항시남구	194742	94310	92570	1740	100432	457	1278	134	4101	99	47	2015	65	2177	2449	11950	8027	747	202	58822
경상북도	4700	울릉군	8472	5303	5150	153	3169	44	61	9	166	7	4	117	3	50	98	499	490	126	15	3461
경상북도	4700	경주시	211232	109525	106809	2716	101707	294	1277	206	7761	176	94	2410	108	2051	2378	28338	4803	1224	264	55425
경상북도	4700	김천시	109981	68356	66464	1892	41625	1521	1252	139	2044	112	84	1881	67	845	1968	17828	3270	661	283	34509
경상북도	4700	안동시	133439	81619	79227	2392	51820	249	3388	192	3289	184	141	2693	138	1368	2125	19247	4423	862	405	40523
경상북도	4700	구미시	282214	118138	116303	1835	164076	1743	3103	174	4483	102	94	4649	111	1897	3398	41601	6221	1083	246	47398
