광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	가자희망2080	공화당	구국총연합	국민통합21	기독당	노년권익보호당	녹색사민당	민주노동당	민주화합당	사회당	새천년민주당	열린우리당	자민련	한나라당
경상북도	4700	영천시	87643	55110	53684	1426	32533	625	106	81	673	537	198	466	6496	191	443	822	13869	552	28625
경상북도	4700	상주시	90215	59097	56984	2113	31118	46	83	33	206	513	109	197	5407	173	630	964	11625	502	36496
경상북도	4700	문경시	63474	42206	41099	1107	21268	65	76	40	992	280	115	215	2919	136	382	633	7142	624	27480
경상북도	4700	예천군	43544	29894	28595	1299	13650	57	93	59	1207	265	95	152	2405	149	419	506	5175	476	17537
경상북도	4700	경산시	158727	88930	87691	1239	69797	55	76	30	404	933	149	402	11291	113	252	1058	20750	666	51512
경상북도	4700	청도군	40398	25076	24204	872	15322	22	36	11	174	186	37	99	1910	67	246	395	5103	321	15597
경상북도	4700	고령군	27874	17078	16473	605	10796	11	22	21	65	133	34	37	1593	63	171	250	4067	155	9851
경상북도	4700	성주군	38832	23461	22658	803	15371	26	23	18	74	155	42	65	2005	69	204	385	5925	155	13512
경상북도	4700	군위군	24101	16459	15898	561	7642	35	199	213	81	146	39	45	1197	73	221	231	3231	187	10000
경상북도	4700	의성군	56585	38781	37580	1201	17804	152	849	108	354	361	115	181	3459	138	310	539	7326	811	22877
경상북도	4700	칠곡군	77012	42938	41968	970	34074	33	49	24	112	341	70	658	5359	81	232	519	10983	334	23173
경상북도	4700	청송군	25089	16105	15672	433	8984	55	235	75	84	146	73	69	1573	56	166	228	3646	213	9053
경상북도	4700	영양군	16903	11384	10933	451	5519	28	27	14	224	166	92	65	1104	47	146	194	2649	391	5786
경상북도	4700	영덕군	38063	23644	22745	899	14419	34	38	24	577	212	410	83	1668	79	243	400	4674	278	14025
경상북도	4700	봉화군	31404	21254	20534	720	10150	43	61	33	408	175	89	95	2195	123	249	441	5002	291	11329
