광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	정당	득표수
서울특별시	1100	종로구	135727	70871	69910	961	64856	통합민주당	22558
서울특별시	1100	중구	106880	51570	50914	656	55310	통합민주당	14333
서울특별시	1100	용산구	192033	82606	81753	853	109427	통합민주당	20271
서울특별시	1100	성동구	265667	123624	122134	1490	142043	통합민주당	39246
서울특별시	1100	광진구	298666	130836	129539	1297	167830	통합민주당	39271
서울특별시	1100	동대문구	303788	140597	138670	1927	163191	통합민주당	40158
서울특별시	1100	중랑구	338808	147219	145117	2102	191589	통합민주당	40156
서울특별시	1100	성북구	375377	166449	164308	2141	208928	통합민주당	46447
서울특별시	1100	강북구	276757	118678	117171	1507	158079	통합민주당	37753
서울특별시	1100	도봉구	293667	140240	138792	1448	153427	통합민주당	41754
서울특별시	1100	노원구	467417	238002	235916	2086	229415	통합민주당	66723
서울특별시	1100	은평구	359447	169513	167567	1946	189934	통합민주당	44614
서울특별시	1100	서대문구	277932	128636	127031	1605	149296	통합민주당	38486
서울특별시	1100	마포구	317518	143388	141889	1499	174130	통합민주당	41099
서울특별시	1100	양천구	378915	172995	171092	1903	205920	통합민주당	48340
서울특별시	1100	강서구	443974	198733	197078	1655	245241	통합민주당	56384
서울특별시	1100	구로구	333902	160271	158544	1727	173631	통합민주당	50765
서울특별시	1100	금천구	196593	86450	85367	1083	110143	통합민주당	27198
서울특별시	1100	영등포구	326350	148824	147244	1580	177526	통합민주당	42643
서울특별시	1100	동작구	327717	173206	171569	1637	154511	통합민주당	56045
서울특별시	1100	관악구	441081	197426	195574	1852	243655	통합민주당	65560
서울특별시	1100	서초구	320775	146437	145285	1152	174338	통합민주당	27762
서울특별시	1100	강남구	444494	187890	186758	1132	256604	통합민주당	32422
서울특별시	1100	송파구	491127	216721	215046	1675	274406	통합민주당	56227
서울특별시	1100	강동구	363743	160552	159114	1438	203191	통합민주당	41254
서울특별시	1100	종로구	135727	70871	69910	961	64856	한나라당	28419
서울특별시	1100	중구	106880	51570	50914	656	55310	한나라당	20791
서울특별시	1100	용산구	192033	82606	81753	853	109427	한나라당	35562
서울특별시	1100	성동구	265667	123624	122134	1490	142043	한나라당	50448
서울특별시	1100	광진구	298666	130836	129539	1297	167830	한나라당	50061
서울특별시	1100	동대문구	303788	140597	138670	1927	163191	한나라당	56550
서울특별시	1100	중랑구	338808	147219	145117	2102	191589	한나라당	57693
서울특별시	1100	성북구	375377	166449	164308	2141	208928	한나라당	65796
서울특별시	1100	강북구	276757	118678	117171	1507	158079	한나라당	44665
서울특별시	1100	도봉구	293667	140240	138792	1448	153427	한나라당	57079
서울특별시	1100	노원구	467417	238002	235916	2086	229415	한나라당	91294
서울특별시	1100	은평구	359447	169513	167567	1946	189934	한나라당	63957
서울특별시	1100	서대문구	277932	128636	127031	1605	149296	한나라당	49615
서울특별시	1100	마포구	317518	143388	141889	1499	174130	한나라당	54154
서울특별시	1100	양천구	378915	172995	171092	1903	205920	한나라당	67202
서울특별시	1100	강서구	443974	198733	197078	1655	245241	한나라당	77539
서울특별시	1100	구로구	333902	160271	158544	1727	173631	한나라당	58681
