광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	정당	득표수
서울특별시	1100	종로구	138917	77805	76637	1168	61112	한나라당	31729
서울특별시	1100	중구	109000	60760	59519	1241	48240	한나라당	24533
서울특별시	1100	용산구	198044	105015	103386	1629	93029	한나라당	46721
서울특별시	1100	성동구	250316	135281	133400	1881	115035	한나라당	54752
서울특별시	1100	광진구	301603	158986	156801	2185	142617	한나라당	62025
서울특별시	1100	동대문구	297206	160477	158043	2434	136729	한나라당	64186
서울특별시	1100	중랑구	343810	172251	169905	2346	171559	한나라당	69251
서울특별시	1100	성북구	383508	204662	201945	2717	178846	한나라당	78068
서울특별시	1100	강북구	276171	142075	140078	1997	134096	한나라당	53567
서울특별시	1100	도봉구	292842	159955	157729	2226	132887	한나라당	63856
서울특별시	1100	노원구	470325	264037	260604	3433	206288	한나라당	101939
서울특별시	1100	은평구	376385	192942	190268	2674	183443	한나라당	74075
서울특별시	1100	서대문구	266950	146822	144765	2057	120128	한나라당	56180
서울특별시	1100	마포구	313579	172890	170648	2242	140689	한나라당	64652
서울특별시	1100	양천구	382358	214876	211664	3212	167482	한나라당	86546
서울특별시	1100	강서구	455047	242772	239854	2918	212275	한나라당	95845
서울특별시	1100	구로구	339568	187956	185659	2297	151612	한나라당	71204
서울특별시	1100	금천구	197080	103675	102097	1578	93405	한나라당	37633
서울특별시	1100	영등포구	329379	180344	177590	2754	149035	한나라당	72917
서울특별시	1100	동작구	325558	184237	182111	2126	141321	한나라당	70974
서울특별시	1100	관악구	442049	238361	235551	2810	203688	한나라당	77863
서울특별시	1100	서초구	341599	186010	184196	1814	155589	한나라당	99983
서울특별시	1100	강남구	452744	231892	229442	2450	220852	한나라당	127448
서울특별시	1100	송파구	539644	292404	289187	3217	247240	한나라당	132122
서울특별시	1100	강동구	387779	209713	207154	2559	178066	한나라당	89650
서울특별시	1100	종로구	138917	77805	76637	1168	61112	민주당	31528
서울특별시	1100	중구	109000	60760	59519	1241	48240	민주당	24983
서울특별시	1100	용산구	198044	105015	103386	1629	93029	민주당	38716
서울특별시	1100	성동구	250316	135281	133400	1881	115035	민주당	56193
서울특별시	1100	광진구	301603	158986	156801	2185	142617	민주당	66824
서울특별시	1100	동대문구	297206	160477	158043	2434	136729	민주당	67660
서울특별시	1100	중랑구	343810	172251	169905	2346	171559	민주당	74303
서울특별시	1100	성북구	383508	204662	201945	2717	178846	민주당	85366
서울특별시	1100	강북구	276171	142075	140078	1997	134096	민주당	63305
서울특별시	1100	도봉구	292842	159955	157729	2226	132887	민주당	65869
서울특별시	1100	노원구	470325	264037	260604	3433	206288	민주당	109775
서울특별시	1100	은평구	376385	192942	190268	2674	183443	민주당	85214
서울특별시	1100	서대문구	266950	146822	144765	2057	120128	민주당	62319
서울특별시	1100	마포구	313579	172890	170648	2242	140689	민주당	69067
서울특별시	1100	양천구	382358	214876	211664	3212	167482	민주당	88458
서울특별시	1100	강서구	455047	242772	239854	2918	212275	민주당	103191
서울특별시	1100	구로구	339568	187956	185659	2297	151612	민주당	81684
서울특별시	1100	금천구	197080	103675	102097	1578	93405	민주당	47025
서울특별시	1100	영등포구	329379	180344	177590	2754	149035	민주당	72230
서울특별시	1100	동작구	325558	184237	182111	2126	141321	민주당	77955
서울특별시	1100	관악구	442049	238361	235551	2810	203688	민주당	105302
서울특별시	1100	서초구	341599	186010	184196	1814	155589	민주당	54892
서울특별시	1100	강남구	452744	231892	229442	2450	220852	민주당	67482
서울특별시	1100	송파구	539644	292404	289187	3217	247240	민주당	107299
서울특별시	1100	강동구	387779	209713	207154	2559	178066	민주당	83916
서울특별시	1100	종로구	138917	77805	76637	1168	61112	자유선진당	2379
서울특별시	1100	중구	109000	60760	59519	1241	48240	자유선진당	1801
서울특별시	1100	용산구	198044	105015	103386	1629	93029	자유선진당	3810
서울특별시	1100	성동구	250316	135281	133400	1881	115035	자유선진당	3934
서울특별시	1100	광진구	301603	158986	156801	2185	142617	자유선진당	4696
서울특별시	1100	동대문구	297206	160477	158043	2434	136729	자유선진당	4987
서울특별시	1100	중랑구	343810	172251	169905	2346	171559	자유선진당	4991
서울특별시	1100	성북구	383508	204662	201945	2717	178846	자유선진당	6519
서울특별시	1100	강북구	276171	142075	140078	1997	134096	자유선진당	3713
서울특별시	1100	도봉구	292842	159955	157729	2226	132887	자유선진당	4404
서울특별시	1100	노원구	470325	264037	260604	3433	206288	자유선진당	8000
서울특별시	1100	은평구	376385	192942	190268	2674	183443	자유선진당	5896
서울특별시	1100	서대문구	266950	146822	144765	2057	120128	자유선진당	4325
