광역	시군구	읍면동	투표소	선거인수	투표인수	기권수	무효표	계	더불어민주당	자유한국당	국민의당	바른정당	정의당	새누리당	경제애국당	국민대통합당	늘푸른한국당	민중연합당	한국국민당	혹익당	무소속
인천광역시	동구	합계	합계	59362	44672	14690	197	44475	16501	11446	10479	2484	3296	64	21	42	10	42	19	28	43
인천광역시	남구	합계	합계	352503	254020	98483	1007	253013	96338	60603	61034	15593	18179	373	57	254	44	142	82	93	221
인천광역시	연수구	합계	합계	262343	208175	54168	716	207459	85853	41920	48166	15928	14622	303	32	231	40	105	55	67	137
인천광역시	남동구	합계	합계	430938	327425	103513	1222	326203	136132	66178	77693	21335	23230	470	59	267	80	251	97	89	322
인천광역시	계양구	합계	합계	271262	205824	65438	806	205018	88890	37234	48622	13418	15790	270	39	188	41	193	73	57	203
인천광역시	부평구	합계	합계	455450	345398	110052	1333	344065	146859	66560	82590	21769	24630	501	72	263	64	222	107	103	325
인천광역시	서구	합계	합계	404034	306672	97362	1103	305569	132399	56236	72248	20860	22418	423	64	238	76	177	86	80	264
인천광역시	강화군	합계	합계	59875	43938	15937	327	43611	12153	17041	9559	2233	2267	97	11	58	22	27	33	53	57
인천광역시	옹진군	합계	합계	18872	14747	4125	185	14562	3935	5834	3092	875	656	23	5	18	11	17	23	28	45
광주광역시	동구	합계	합계	83378	66287	17091	184	66103	37053	1308	23438	1372	2665	13	5	45	10	115	13	19	47
광주광역시	서구	합계	합계	247595	204787	42808	432	204355	124183	3182	62218	4627	9247	20	17	198	32	450	20	45	116
광주광역시	남구	합계	합계	177247	146037	31210	440	145597	85642	2521	47663	3085	6013	38	19	142	12	296	21	56	89
광주광역시	북구	합계	합계	356097	292001	64096	765	291236	177850	4241	88501	6274	13206	48	24	157	23	622	31	87	172
광주광역시	광산구	합계	합계	302584	248209	54375	668	247541	159119	3630	65402	5504	12588	33	46	113	26	782	51	57	190
대전광역시	동구	합계	합계	194189	143823	50366	639	143184	57580	33015	34729	7746	9376	162	42	126	44	91	43	75	155
대전광역시	중구	합계	합계	208017	157397	50620	632	156765	62115	37657	37504	8885	9795	239	34	119	54	100	51	78	134
대전광역시	서구	합계	합계	394539	307774	86765	1120	306654	133604	59593	70732	20091	21396	317	48	175	59	216	69	124	230
대전광역시	유성구	합계	합계	266632	218087	48545	663	217424	103313	35445	47081	16145	14723	209	20	98	33	114	47	78	118
대전광역시	대덕구	합계	합계	157225	118816	38409	542	118274	47933	25666	28723	6953	8379	142	24	102	44	90	46	51	121
울산광역시	중구	합계	합계	198415	157051	41364	795	156256	56657	47625	26458	12399	12307	183	21	130	53	115	52	95	161
울산광역시	남구	합계	합계	276867	219569	57298	918	218651	80662	63331	39040	18536	16078	259	29	128	66	146	36	103	237
울산광역시	동구	합계	합계	138379	109054	29325	583	108471	44931	23701	19290	8337	11590	78	17	105	39	139	36	48	160
울산광역시	북구	합계	합계	151453	122933	28520	555	122378	52058	26596	20115	10004	12916	146	20	85	31	137	48	58	164
울산광역시	울주군	합계	합계	175979	136353	39626	747	135606	48486	42349	23617	11013	9296	163	41	127	51	104	48	107	204
세종특별자치시	세종특별자치시	합계	합계	189421	152801	36620	564	152237	77767	23211	32010	9192	9353	153	34	88	42	126	50	76	135
경기도	수원시장안구	합계	합계	239609	190917	48692	706	190211	81392	37143	43344	13774	13660	245	33	136	43	180	43	69	149
경기도	수원시권선구	합계	합계	290343	222078	68265	800	221278	95263	42801	51061	15482	15573	273	43	175	60	195	69	77	206
경기도	수원시팔달구	합계	합계	167122	123458	43664	485	122973	49814	27782	28228	8218	8315	172	20	94	27	105	36	53	109
경기도	수원시영통구	합계	합계	264002	220307	43695	658	219649	105181	33354	46872	18468	15086	228	23	92	26	117	24	54	124
경기도	성남시수정구	합계	합계	201105	149414	51691	572	148842	63867	28395	36752	9315	9649	201	27	120	22	253	48	64	129
경기도	성남시중원구	합계	합계	198663	146801	51862	569	146232	62729	27896	36512	8502	9599	211	36	116	29	355	42	63	142
경기도	성남시분당구	합계	합계	403060	338076	64984	887	337189	139853	71332	74040	30351	20415	544	22	96	53	206	35	99	143
경기도	의정부시	합계	합계	360255	270404	89851	930	269474	110580	57027	65003	17254	18284	422	31	155	63	214	81	122	238
경기도	안양시만안구	합계	합계	215032	167995	47037	603	167392	70454	35189	38671	10990	11275	257	23	149	32	109	59	55	129
경기도	안양시동안구	합계	합계	277376	230674	46702	683	229991	101278	43072	51966	17577	15294	298	26	129	30	110	48	51	112
경기도	광명시	합계	합계	271716	218795	52921	688	218107	97959	39081	51958	13835	14345	294	32	139	49	142	45	66	162
경기도	양주시	합계	합계	164908	121344	43564	612	120732	46286	29739	28469	7602	7921	164	34	97	50	105	51	56	158
경기도	동두천시	합계	합계	80335	55487	24848	294	55193	19444	15733	12808	3201	3662	86	11	50	18	51	21	34	74
경기도	평택시	합계	합계	379547	273677	105870	1159	272518	104574	62827	64057	19321	20128	344	62	225	69	358	118	97	338
경기도	안산시상록구	합계	합계	305169	226266	78903	927	225339	98564	39723	55067	14307	16558	272	49	206	51	169	83	75	215
경기도	안산시단원구	합계	합계	252848	187253	65595	745	186508	80771	33862	45779	11938	13251	206	31	149	48	137	76	68	192
경기도	고양시덕양구	합계	합계	366265	287087	79178	912	286175	120063	55157	61581	18038	30094	409	37	143	134	194	66	87	172
경기도	고양시일산동구	합계	합계	239470	188297	51173	539	187758	81622	34980	41166	13989	15308	268	26	87	43	86	24	54	105
경기도	고양시일산서구	합계	합계	239069	192610	46459	543	192067	85919	35147	41563	13991	14764	265	23	80	42	88	23	57	105
