광역	광역코드
서울특별시	1100
부산광역시	2600
대구광역시	2700
인천광역시	2800
광주광역시	2900
대전광역시	3000
울산광역시	3100
세종특별자치시	5100
경기도	4100
강원도	4200
충청북도	4300
충청남도	4400
전라북도	4500
전라남도	4600
경상북도	4700
경상남도	4800
제주특별자치도	4900
