광역	시군구	읍면동	선거인수	투표수	새누리당	더불어민주당	국민의당	정의당	기독자유당	민주당	코리아	일제.위안부.인권정당	개혁국민신당	고용복지연금선진화연대	공화당	불교당	기독당	노동당	녹색당	민중연합당	복지국가당	친반통일당	통일한국당	한국국민당	한나라당	계	무효투표수	기권수	권역
강원도	강릉시	주문진읍	15375	6966	3989	1100	896	219	143	48	5	5	3	5	4	8	38	56	26	24	3	0	15	6	39	6632	334	8409	제주도/강원도
강원도	강릉시	성산면	2953	1766	910	278	282	67	34	8	1	1	2	0	0	7	9	21	6	5	2	1	1	0	13	1648	118	1187	제주도/강원도
강원도	강릉시	왕산면	1543	920	526	127	133	33	6	3	0	0	1	1	1	1	1	10	3	1	1	0	1	1	7	857	63	623	제주도/강원도
강원도	강릉시	구정면	3428	1921	972	322	272	96	47	20	2	0	1	2	0	5	4	25	8	4	2	0	2	1	20	1805	116	1507	제주도/강원도
강원도	강릉시	강동면	4489	2506	1447	363	271	59	53	10	3	1	0	3	3	1	13	31	8	7	1	1	7	2	35	2319	187	1983	제주도/강원도
강원도	강릉시	옥계면	3558	2002	1114	278	272	56	44	13	4	0	2	2	2	5	14	16	3	4	2	0	4	1	24	1860	142	1556	제주도/강원도
강원도	강릉시	사천면	3973	2288	1112	381	332	91	39	14	1	1	4	2	6	2	12	48	22	8	4	2	2	2	32	2117	171	1685	제주도/강원도
강원도	강릉시	연곡면	5743	3005	1507	591	487	127	47	21	0	0	1	2	0	6	5	28	14	9	1	1	2	3	21	2873	132	2738	제주도/강원도
강원도	강릉시	홍제동	7823	4351	1900	986	797	237	69	36	3	3	2	4	2	4	21	58	19	31	3	1	1	3	21	4201	150	3472	제주도/강원도
강원도	강릉시	중앙동	5594	3024	1573	591	473	129	42	19	3	2	1	1	6	7	7	32	14	10	0	0	3	3	12	2928	96	2570	제주도/강원도
강원도	강릉시	옥천동	3646	1941	1020	364	313	60	17	16	3	4	1	1	1	2	6	13	5	5	1	1	6	4	18	1861	80	1705	제주도/강원도
강원도	강릉시	교1동	21307	11816	4489	2841	2725	746	179	81	14	6	5	5	6	20	46	183	80	50	10	0	7	5	47	11545	271	9491	제주도/강원도
강원도	강릉시	교2동	7410	3942	1880	816	659	205	68	20	2	6	0	3	2	5	18	58	13	7	3	0	5	2	23	3795	147	3468	제주도/강원도
강원도	강릉시	포남1동	9843	5128	2572	971	843	244	106	37	4	3	4	1	4	12	27	68	22	11	3	0	9	5	28	4974	154	4715	제주도/강원도
강원도	강릉시	포남2동	12163	6221	2719	1447	1173	297	99	49	5	7	5	2	4	11	21	88	41	15	4	2	15	2	29	6035	186	5942	제주도/강원도
강원도	강릉시	초당동	4316	2384	915	586	485	181	62	14	2	1	2	2	0	3	10	33	15	12	1	0	3	2	4	2333	51	1932	제주도/강원도
강원도	강릉시	송정동	5599	3092	1275	753	619	182	58	17	3	4	3	2	2	6	11	42	18	5	2	0	4	1	13	3020	72	2507	제주도/강원도
강원도	강릉시	내곡동	9442	4854	2031	1192	914	243	87	27	7	2	4	2	1	11	15	75	24	23	4	2	2	0	29	4695	159	4588	제주도/강원도
강원도	강릉시	강남동	16312	8600	4184	1718	1432	375	146	85	3	3	3	4	4	6	37	108	39	19	5	0	5	9	53	8238	362	7712	제주도/강원도
강원도	강릉시	성덕동	21981	11264	4360	2878	2234	618	202	112	8	7	4	6	12	15	49	208	67	55	11	2	17	7	46	10918	346	10717	제주도/강원도
강원도	강릉시	경포동	4317	2291	1104	448	386	114	30	16	1	1	3	4	4	6	17	22	18	3	1	0	2	2	23	2205	86	2026	제주도/강원도
강원도	고성군	간성읍	5842	3450	1619	761	579	135	65	43	4	2	1	3	1	2	21	8	9	9	1	0	6	3	19	3291	159	2392	제주도/강원도
강원도	고성군	거진읍	5948	3266	1735	588	455	81	94	31	5	4	1	1	3	4	22	12	6	16	0	1	7	0	20	3086	180	2682	제주도/강원도
강원도	고성군	현내면	2322	1399	810	218	180	15	21	6	3	0	2	0	0	2	7	3	5	3	2	0	3	3	14	1297	102	923	제주도/강원도
강원도	고성군	죽왕면	3408	1976	1053	360	262	65	25	23	4	0	0	2	2	5	12	6	12	7	1	0	5	3	17	1864	112	1432	제주도/강원도
강원도	고성군	토성면	6593	3398	1786	583	516	120	74	45	4	5	1	0	5	5	14	14	12	5	2	1	4	4	18	3218	180	3195	제주도/강원도
강원도	동해시	천곡동	22774	12839	5372	2552	2700	744	460	150	13	10	7	8	11	19	102	52	51	69	8	2	18	12	112	12472	367	9935	제주도/강원도
강원도	동해시	송정동	4019	2277	1120	347	398	99	93	22	3	1	1	3	1	7	15	4	4	14	2	0	7	5	15	2161	116	1742	제주도/강원도
강원도	동해시	북삼동	14885	8337	3141	1848	1832	578	257	102	11	11	7	4	2	18	49	38	31	41	18	3	17	7	66	8081	256	6548	제주도/강원도
강원도	동해시	부곡동	5193	2840	1424	432	460	126	126	39	4	1	4	3	5	6	18	7	4	8	6	0	14	3	24	2714	126	2353	제주도/강원도
강원도	동해시	동호동	3787	1960	1069	242	279	69	94	26	7	1	0	3	1	3	13	6	7	5	1	0	9	3	25	1863	97	1827	제주도/강원도
강원도	동해시	발한동	3876	2121	1207	225	332	54	103	20	0	1	3	2	0	2	11	5	9	8	2	1	5	1	26	2017	104	1755	제주도/강원도
강원도	동해시	묵호동	3319	1731	953	185	239	51	102	13	2	1	1	1	3	5	8	4	2	5	4	0	4	3	35	1621	110	1588	제주도/강원도
강원도	동해시	북평동	7572	4318	2037	728	734	234	141	60	5	9	3	6	1	8	22	22	16	12	8	2	5	5	39	4097	221	3254	제주도/강원도
강원도	동해시	망상동	3536	1947	1061	274	304	79	54	18	3	1	2	4	1	5	10	9	3	1	2	1	3	2	19	1856	91	1589	제주도/강원도
강원도	동해시	삼화동	2906	1773	859	249	270	78	99	20	4	2	4	2	2	6	10	13	7	5	1	2	2	3	21	1659	114	1133	제주도/강원도
강원도	삼척시	도계읍	10298	5989	2892	1099	840	189	216	98	15	9	7	5	4	16	31	31	33	25	10	3	3	17	109	5652	337	4309	제주도/강원도
강원도	삼척시	원덕읍	5131	3030	1593	397	370	122	149	47	4	2	0	2	5	6	22	12	8	31	5	3	3	9	43	2833	197	2101	제주도/강원도
강원도	삼척시	근덕면	5022	3019	1565	362	397	111	162	40	2	3	2	2	6	8	9	12	14	13	5	2	6	6	60	2787	232	2003	제주도/강원도
강원도	삼척시	하장면	1257	804	369	125	106	43	32	16	2	1	0	2	0	1	5	3	2	4	6	0	7	5	17	746	58	453	제주도/강원도
강원도	삼척시	노곡면	708	507	260	65	73	17	14	6	1	1	1	1	1	1	5	0	4	2	0	0	5	5	13	475	32	201	제주도/강원도
강원도	삼척시	미로면	1771	1172	599	154	124	56	61	13	2	1	0	1	4	3	5	3	7	4	4	0	0	4	17	1062	110	599	제주도/강원도
강원도	삼척시	가곡면	694	463	237	62	48	26	27	6	2	1	0	0	0	1	2	1	0	0	1	1	1	3	4	423	40	231	제주도/강원도
강원도	삼척시	신기면	671	440	224	59	54	14	20	6	0	0	2	0	1	2	1	1	3	2	2	1	1	3	11	407	33	231	제주도/강원도
강원도	삼척시	남양동	7975	4773	2394	745	839	210	140	53	4	6	5	1	3	10	21	16	31	16	5	3	5	4	47	4558	215	3202	제주도/강원도
강원도	삼척시	성내동	7067	4002	1845	699	730	203	110	59	5	1	2	6	4	4	17	23	15	26	5	2	2	2	43	3803	199	3065	제주도/강원도
강원도	삼척시	교동	8302	5006	1905	1170	1054	339	112	55	6	5	2	4	2	9	36	28	38	17	7	1	3	3	44	4840	166	3296	제주도/강원도
강원도	삼척시	정라동	7782	4047	1845	788	725	229	112	44	6	6	2	2	2	7	32	24	26	20	3	2	10	1	31	3917	130	3735	제주도/강원도
강원도	속초시	영랑동	4572	2281	1142	434	378	103	39	20	0	1	3	2	2	3	15	5	12	4	1	1	9	1	13	2188	93	2291	제주도/강원도
강원도	속초시	동명동	3053	1445	769	245	261	51	15	13	1	0	0	0	0	5	3	3	1	6	1	0	10	1	3	1388	57	1608	제주도/강원도
강원도	속초시	금호동	6029	2978	1433	578	542	168	59	20	0	0	3	1	1	7	14	6	14	6	0	0	16	0	9	2877	101	3051	제주도/강원도
강원도	속초시	교동	8657	4077	1846	813	803	277	64	30	1	4	2	4	0	10	30	6	10	13	6	1	16	2	10	3948	129	4580	제주도/강원도
강원도	속초시	노학동	17394	8135	3406	1753	1784	523	172	60	5	5	4	2	1	7	47	15	43	22	3	1	26	3	27	7909	226	9259	제주도/강원도
강원도	속초시	조양동	17762	8061	3164	1818	1892	488	145	82	5	6	4	5	6	9	43	29	36	25	3	0	24	4	28	7816	245	9701	제주도/강원도
강원도	속초시	청호동	3407	1576	884	235	258	46	18	12	2	2	2	0	2	2	6	1	1	4	0	0	5	1	13	1494	82	1831	제주도/강원도
강원도	속초시	대포동	2995	1569	869	234	274	56	20	7	3	2	0	0	3	1	5	4	12	3	2	0	1	2	12	1510	59	1426	제주도/강원도
강원도	양구군	양구읍	10779	6151	2764	1363	1113	206	109	76	19	10	5	9	2	12	46	9	26	28	16	2	4	7	52	5878	273	4628	제주도/강원도
강원도	양구군	남면	3074	1785	908	367	215	52	51	25	4	0	2	2	5	4	11	5	8	8	3	0	3	3	30	1706	79	1289	제주도/강원도
강원도	양구군	동면	1928	1245	593	230	175	44	45	18	8	5	2	2	1	6	10	3	6	8	2	0	2	1	10	1171	74	683	제주도/강원도
강원도	양구군	방산면	1295	857	414	165	136	17	15	19	5	2	1	3	2	3	5	2	3	4	4	0	3	2	7	812	45	438	제주도/강원도
강원도	양구군	해안면	1199	706	263	209	111	19	24	17	2	0	0	0	0	0	6	2	0	2	2	0	0	2	8	667	39	493	제주도/강원도
강원도	양양군	양양읍	9245	5171	2581	979	886	217	123	52	5	0	1	4	4	9	40	13	19	8	6	2	4	2	29	4984	187	4074	제주도/강원도
강원도	양양군	서면	2749	1670	947	245	216	58	24	14	5	2	2	2	5	3	2	2	12	2	2	1	0	3	14	1561	109	1079	제주도/강원도
강원도	양양군	손양면	2063	1229	625	230	145	54	34	6	1	0	1	1	3	1	3	7	5	4	0	2	2	3	7	1134	95	834	제주도/강원도
강원도	양양군	현북면	2326	1384	730	216	214	46	23	14	1	2	0	0	1	3	4	6	10	4	0	0	1	5	10	1290	94	942	제주도/강원도
강원도	양양군	현남면	2740	1590	923	224	194	45	36	15	4	0	0	1	0	3	10	2	13	2	0	0	1	2	14	1489	101	1150	제주도/강원도
강원도	양양군	강현면	3538	2026	1049	315	311	101	40	21	1	2	1	0	3	5	8	7	9	5	1	1	2	2	22	1906	120	1512	제주도/강원도
강원도	영월군	영월읍	16915	9949	4193	2061	1763	495	434	144	15	14	9	5	7	21	81	28	57	45	12	0	8	7	98	9497	452	6966	제주도/강원도
강원도	영월군	상동읍	1020	672	351	106	73	18	32	6	1	0	0	0	2	2	4	1	6	1	4	0	0	1	14	622	50	348	제주도/강원도
강원도	영월군	중동면	1435	879	471	124	114	28	30	6	1	0	0	0	1	0	4	2	0	6	0	0	3	1	16	807	72	556	제주도/강원도
강원도	영월군	김삿갓면	1517	938	453	133	153	43	39	8	4	2	0	0	2	3	9	1	8	2	0	1	0	0	17	878	60	579	제주도/강원도
강원도	영월군	북면	2021	1227	619	156	188	40	74	20	2	1	0	2	2	2	5	3	7	4	1	1	3	3	19	1152	75	794	제주도/강원도
강원도	영월군	남면	2058	1279	609	209	186	42	73	12	4	1	1	0	2	6	8	3	4	11	2	2	2	4	22	1203	76	779	제주도/강원도
강원도	영월군	한반도면	2759	1722	859	247	247	65	89	25	2	0	1	1	0	6	18	5	5	9	1	2	3	3	32	1620	102	1037	제주도/강원도
강원도	영월군	주천면	3486	2141	1026	328	297	71	139	30	7	4	3	2	2	6	17	5	4	10	2	1	5	9	37	2005	136	1345	제주도/강원도
강원도	영월군	수주면	1631	1022	549	116	183	31	41	14	1	0	0	0	2	2	6	4	6	4	0	0	2	1	9	971	51	609	제주도/강원도
강원도	원주시	문막읍	14651	7069	2578	1884	1390	401	242	65	4	2	6	2	4	11	30	23	67	46	5	2	32	6	28	6828	241	7582	제주도/강원도
강원도	원주시	소초면	7755	3989	1823	832	790	149	93	26	7	3	2	0	1	8	25	6	19	18	7	1	1	4	24	3839	150	3766	제주도/강원도
강원도	원주시	호저면	3540	2000	987	410	262	80	53	16	2	1	1	2	2	2	11	3	12	9	1	1	0	6	19	1880	120	1540	제주도/강원도
강원도	원주시	지정면	2643	1511	740	278	213	57	52	14	2	4	1	2	3	1	6	5	6	3	2	0	2	4	13	1408	103	1132	제주도/강원도
강원도	원주시	부론면	2175	1310	701	216	196	43	38	7	0	0	1	0	1	2	5	7	12	6	1	0	0	1	5	1242	68	865	제주도/강원도
강원도	원주시	귀래면	1881	1134	593	179	182	45	21	4	3	0	0	0	0	2	7	0	10	2	0	0	1	0	12	1061	73	747	제주도/강원도
강원도	원주시	흥업면	6627	3545	1338	823	744	238	104	21	5	1	0	2	1	5	26	11	36	19	3	0	2	1	21	3401	144	3082	제주도/강원도
강원도	원주시	판부면	5229	2652	1014	625	574	198	62	19	0	1	2	2	0	3	15	4	20	8	1	1	1	4	11	2565	87	2577	제주도/강원도
강원도	원주시	신림면	3412	2013	1009	357	337	65	39	15	1	0	4	2	2	3	10	1	8	7	0	2	1	0	18	1881	132	1399	제주도/강원도
강원도	원주시	중앙동	2926	1440	702	321	228	59	38	8	0	2	0	0	1	3	5	3	5	1	0	0	0	1	6	1383	57	1486	제주도/강원도
강원도	원주시	원인동	5053	2528	1008	601	503	157	79	15	1	2	1	2	0	3	20	12	19	15	0	0	1	2	6	2447	81	2525	제주도/강원도
강원도	원주시	개운동	11086	6257	2598	1474	1345	360	142	33	2	4	3	3	1	5	32	10	19	31	4	0	1	3	16	6086	171	4829	제주도/강원도
강원도	원주시	명륜1동	8494	5102	1907	1308	1117	310	161	25	4	6	0	1	3	6	34	15	25	23	1	0	0	2	18	4966	136	3392	제주도/강원도
강원도	원주시	명륜2동	13814	7659	2795	1994	1656	476	229	58	3	3	0	2	2	7	53	24	48	47	4	0	4	2	21	7428	231	6155	제주도/강원도
강원도	원주시	단구동	33318	17793	5852	5091	4221	1131	504	124	14	10	8	2	6	16	88	53	105	126	7	0	3	5	34	17400	393	15525	제주도/강원도
강원도	원주시	일산동	7510	4165	1708	998	842	275	115	16	2	6	3	2	2	3	24	12	19	4	1	1	1	3	16	4053	112	3345	제주도/강원도
강원도	원주시	학성동	4867	2549	1174	579	462	137	48	13	0	0	0	1	0	3	19	5	17	11	2	0	0	2	9	2482	67	2318	제주도/강원도
강원도	원주시	단계동	18201	9740	3454	2682	2139	645	270	47	3	11	2	5	2	11	51	31	44	31	9	3	2	4	20	9466	274	8461	제주도/강원도
강원도	원주시	우산동	11693	6144	2333	1557	1357	395	139	33	7	8	1	1	3	7	32	18	33	26	6	1	1	3	25	5986	158	5549	제주도/강원도
강원도	원주시	태장1동	7786	4113	1519	1082	899	237	127	22	0	1	3	2	1	6	30	14	11	20	6	0	2	3	8	3993	120	3673	제주도/강원도
강원도	원주시	태장2동	19160	9424	3513	2495	2021	529	277	60	6	5	3	0	4	10	58	36	40	38	10	0	2	12	26	9145	279	9736	제주도/강원도
강원도	원주시	봉산동	7805	4428	1942	1021	872	208	75	34	2	3	2	1	1	4	10	14	21	24	2	1	4	3	21	4265	163	3377	제주도/강원도
강원도	원주시	행구동	6169	3674	1356	906	849	254	99	26	1	0	0	0	0	2	24	8	21	11	0	1	3	1	11	3573	101	2495	제주도/강원도
강원도	원주시	무실동	25285	13647	4000	4316	3179	1140	399	73	7	8	2	2	3	11	71	35	64	64	3	2	2	4	28	13413	234	11638	제주도/강원도
강원도	원주시	반곡관설동	22624	12704	3412	4091	3331	1058	269	65	11	10	2	4	6	8	48	29	69	79	4	0	1	2	19	12518	186	9920	제주도/강원도
강원도	인제군	인제읍	7559	4399	1930	1011	799	182	56	60	5	5	2	1	3	10	16	16	29	25	3	4	3	7	31	4198	201	3160	제주도/강원도
강원도	인제군	남면	3321	1904	928	380	298	67	45	28	4	5	1	1	1	2	11	8	4	5	1	2	0	1	16	1808	96	1417	제주도/강원도
강원도	인제군	북면	6934	3806	1707	854	652	123	87	67	8	7	5	3	5	8	29	11	20	12	6	2	2	6	33	3647	159	3128	제주도/강원도
강원도	인제군	기린면	4050	2378	1118	387	427	93	63	37	5	3	2	2	3	9	15	7	8	9	1	0	7	5	32	2233	145	1672	제주도/강원도
강원도	인제군	서화면	2568	1635	782	333	259	53	22	21	10	2	2	1	1	6	8	6	9	6	3	0	4	3	19	1550	85	933	제주도/강원도
강원도	인제군	상남면	1382	840	362	151	154	45	19	12	1	0	1	2	0	3	0	2	4	7	0	0	0	1	14	778	62	542	제주도/강원도
강원도	정선군	정선읍	8786	5403	2268	1168	805	247	197	95	8	6	5	3	1	14	37	28	26	45	9	5	5	17	65	5054	349	3383	제주도/강원도
강원도	정선군	고한읍	4203	2083	861	475	342	118	66	28	3	1	2	0	2	3	5	7	7	5	1	0	1	7	28	1962	121	2120	제주도/강원도
강원도	정선군	사북읍	4326	2249	1061	414	337	114	79	25	1	0	1	0	2	3	9	6	13	5	3	0	4	5	34	2116	133	2077	제주도/강원도
강원도	정선군	신동읍	3227	1936	1001	272	240	70	89	27	2	2	0	0	2	8	11	4	7	7	0	1	1	4	18	1766	170	1291	제주도/강원도
강원도	정선군	화암면	1453	872	414	142	94	31	45	20	4	0	1	0	1	1	1	2	4	8	1	0	1	5	19	794	78	581	제주도/강원도
강원도	정선군	남면	2875	1620	759	318	215	60	53	23	3	5	2	1	3	3	3	7	5	9	1	1	4	1	32	1508	112	1255	제주도/강원도
강원도	정선군	여량면	1862	1247	639	169	133	55	41	13	2	0	1	1	0	4	8	6	3	10	2	2	1	1	15	1106	141	615	제주도/강원도
강원도	정선군	북평면	2223	1370	648	225	183	52	54	18	3	0	2	1	2	3	11	4	9	7	1	1	3	3	28	1258	112	853	제주도/강원도
강원도	정선군	임계면	3127	1984	937	322	230	48	119	33	5	3	3	0	5	4	8	9	17	10	3	1	1	10	37	1805	179	1143	제주도/강원도
강원도	철원군	철원읍	4314	2512	1147	412	430	114	116	32	1	2	1	4	2	9	23	9	13	23	3	1	3	6	32	2383	129	1802	제주도/강원도
강원도	철원군	김화읍	2981	1727	824	358	225	57	63	30	4	9	0	3	2	5	16	2	3	9	4	0	2	2	15	1633	94	1254	제주도/강원도
강원도	철원군	갈말읍	10559	5888	2775	1072	975	253	221	84	13	3	5	4	8	10	52	10	26	17	7	1	3	5	58	5602	286	4671	제주도/강원도
강원도	철원군	동송읍	12776	6703	2984	1121	1259	283	325	83	11	16	5	5	4	9	92	17	26	25	14	2	7	4	82	6374	329	6073	제주도/강원도
강원도	철원군	서면	5139	2808	1281	549	460	93	97	46	9	9	1	3	3	6	13	9	10	12	4	0	0	5	32	2642	166	2331	제주도/강원도
강원도	철원군	근남면	1828	1036	505	203	145	26	31	16	3	1	1	1	0	5	5	1	3	2	1	0	2	2	12	965	71	792	제주도/강원도
강원도	철원군	근북면	142	118	57	26	19	5	2	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	114	4	24	제주도/강원도
강원도	춘천시	신북읍	6933	4095	1826	856	723	195	121	33	10	6	1	5	2	8	18	8	31	16	4	1	6	5	21	3896	199	2838	제주도/강원도
강원도	춘천시	동면	12684	7215	2350	2073	1547	551	276	52	3	6	3	4	4	8	48	10	51	15	6	0	3	3	18	7031	184	5469	제주도/강원도
강원도	춘천시	동산면	1319	789	389	139	131	26	14	3	2	0	1	1	0	2	4	1	1	1	0	0	3	2	7	727	62	530	제주도/강원도
강원도	춘천시	신동면	2349	1438	706	275	218	75	10	13	1	0	2	1	2	3	8	4	10	2	1	0	1	1	13	1346	92	911	제주도/강원도
강원도	춘천시	동내면	11913	6499	2292	1758	1338	470	189	41	10	9	1	1	6	5	31	12	50	15	5	0	0	5	19	6257	242	5414	제주도/강원도
강원도	춘천시	남면	997	614	312	93	100	23	7	5	2	0	1	0	0	2	1	0	1	2	0	1	0	2	8	560	54	383	제주도/강원도
강원도	춘천시	남산면	3220	1779	897	308	288	73	42	10	2	1	1	3	2	3	8	8	6	6	0	0	0	3	9	1670	109	1441	제주도/강원도
강원도	춘천시	서면	3555	2044	1040	350	307	115	56	8	3	1	2	0	4	1	12	4	15	2	2	1	1	2	15	1941	103	1511	제주도/강원도
강원도	춘천시	사북면	2252	1372	714	229	193	69	23	11	5	1	0	0	1	5	7	3	12	4	2	0	2	3	17	1301	71	880	제주도/강원도
강원도	춘천시	북산면	801	515	308	67	66	19	7	4	0	0	0	0	0	1	3	0	5	2	1	0	0	1	6	490	25	286	제주도/강원도
강원도	춘천시	소양동	8976	5253	1980	1423	1072	366	139	22	1	7	1	1	0	7	28	4	30	7	3	0	0	3	24	5118	135	3723	제주도/강원도
강원도	춘천시	교동	3580	2110	846	564	396	133	46	11	4	4	0	0	0	2	9	11	21	6	2	0	3	1	3	2062	48	1470	제주도/강원도
강원도	춘천시	조운동	3279	1793	706	457	325	114	47	10	3	6	1	0	3	1	8	3	7	1	4	1	2	1	10	1710	83	1486	제주도/강원도
강원도	춘천시	약사명동	3692	2208	899	518	417	127	66	14	2	5	0	3	3	5	7	7	16	6	2	0	3	0	9	2109	99	1484	제주도/강원도
강원도	춘천시	근화동	6002	3200	1331	805	553	199	57	22	4	3	0	0	1	0	24	3	23	13	2	1	2	6	13	3062	138	2802	제주도/강원도
강원도	춘천시	후평1동	10958	5989	2377	1464	1102	393	221	53	3	1	1	2	9	5	33	15	39	14	7	1	1	4	31	5776	213	4969	제주도/강원도
강원도	춘천시	후평2동	10307	5799	2117	1578	1216	408	162	44	2	7	2	3	5	4	40	19	44	9	4	0	2	0	19	5685	114	4508	제주도/강원도
강원도	춘천시	후평3동	15280	8311	3075	2231	1605	537	306	69	5	8	2	3	4	14	58	28	63	22	3	0	5	3	20	8061	250	6969	제주도/강원도
강원도	춘천시	효자1동	4460	2727	1027	711	547	218	84	14	1	2	1	0	0	6	14	3	17	2	0	0	0	0	8	2655	72	1733	제주도/강원도
강원도	춘천시	효자2동	10248	5555	2239	1434	958	362	166	42	5	7	3	3	3	9	20	9	47	11	4	1	3	7	23	5356	199	4693	제주도/강원도
강원도	춘천시	효자3동	4309	2369	894	645	449	167	66	21	0	4	0	2	1	2	23	2	14	12	1	0	0	0	9	2312	57	1940	제주도/강원도
강원도	춘천시	석사동	28684	16713	5254	4866	3857	1364	491	99	16	11	6	7	5	13	98	52	117	24	10	3	4	4	37	16338	375	11971	제주도/강원도
강원도	춘천시	퇴계동	32174	19266	6290	5548	4218	1561	591	116	15	16	9	6	11	21	103	37	156	50	12	6	6	9	55	18836	430	12908	제주도/강원도
강원도	춘천시	강남동	14315	8650	3213	2369	1855	555	193	65	11	11	4	2	3	6	42	21	67	10	3	0	4	0	30	8464	186	5665	제주도/강원도
강원도	춘천시	신사우동	15274	9087	3517	2274	1839	589	315	57	5	9	2	4	2	6	54	24	52	19	5	3	3	2	31	8812	275	6187	제주도/강원도
강원도	태백시	황지동	5767	3364	1477	657	651	169	139	41	7	4	0	1	3	6	22	9	14	16	2	1	1	2	33	3255	109	2403	제주도/강원도
강원도	태백시	황연동	4446	2389	1229	360	362	81	92	40	1	0	0	2	2	6	6	7	10	9	5	0	1	8	27	2248	141	2057	제주도/강원도
강원도	태백시	삼수동	5409	2792	1205	567	453	124	107	42	3	6	2	1	4	5	11	5	9	11	4	0	0	4	29	2592	200	2617	제주도/강원도
강원도	태백시	상장동	10831	5700	2101	1388	1145	431	186	70	4	2	7	2	2	8	25	29	13	21	6	0	4	5	39	5488	212	5131	제주도/강원도
강원도	태백시	문곡소도동	2975	1648	815	280	233	84	60	23	1	0	2	0	0	5	5	3	5	15	3	0	2	1	23	1560	88	1327	제주도/강원도
강원도	태백시	장성동	3447	1952	1055	312	248	57	81	25	3	3	4	3	1	5	10	4	8	4	5	2	1	2	27	1860	92	1495	제주도/강원도
강원도	태백시	구문소동	2648	1588	875	235	172	69	71	11	1	0	2	1	1	1	4	2	4	8	2	0	1	4	21	1485	103	1060	제주도/강원도
강원도	태백시	철암동	2336	1385	760	165	156	47	70	21	3	1	0	0	0	2	5	4	6	3	0	2	2	1	19	1267	118	951	제주도/강원도
강원도	평창군	평창읍	7132	4466	2119	827	694	197	180	61	12	4	3	4	3	8	20	12	12	24	7	3	4	7	50	4251	215	2666	제주도/강원도
강원도	평창군	미탄면	1491	972	523	155	93	30	43	16	3	0	1	0	0	2	5	4	3	5	1	2	0	2	16	904	68	519	제주도/강원도
강원도	평창군	방림면	2154	1390	691	226	224	48	41	26	2	4	1	2	3	3	6	5	5	2	3	2	0	5	13	1312	78	764	제주도/강원도
강원도	평창군	대화면	4734	2816	1439	495	395	99	99	42	5	1	1	4	2	8	9	14	10	7	5	1	1	2	37	2676	140	1918	제주도/강원도
강원도	평창군	봉평면	4608	2561	1268	409	415	122	95	38	3	1	3	2	8	8	10	7	11	5	3	1	0	4	30	2443	118	2047	제주도/강원도
강원도	평창군	용평면	2586	1518	739	227	240	61	74	22	1	1	3	2	0	4	10	4	14	5	2	1	2	3	20	1435	83	1068	제주도/강원도
강원도	평창군	진부면	7632	4309	2062	749	679	135	144	81	6	6	6	2	2	21	26	11	12	18	1	2	3	7	61	4034	275	3323	제주도/강원도
강원도	평창군	대관령면	5014	2668	1291	476	408	90	93	41	5	2	1	1	1	5	12	15	9	12	3	1	1	8	43	2518	150	2346	제주도/강원도
강원도	홍천군	홍천읍	26725	15712	6273	4205	2792	715	361	216	30	12	10	10	9	16	85	60	62	71	12	3	5	21	86	15054	658	11013	제주도/강원도
강원도	홍천군	화촌면	4088	2501	1122	517	362	80	67	38	4	2	3	0	3	4	26	8	11	20	1	2	3	7	29	2309	192	1587	제주도/강원도
강원도	홍천군	두촌면	2162	1348	695	200	192	35	45	5	1	2	2	2	2	4	7	1	7	2	0	1	1	1	16	1221	127	814	제주도/강원도
강원도	홍천군	내촌면	2081	1304	651	252	204	39	10	17	4	0	2	0	3	2	3	4	5	4	0	0	1	3	14	1218	86	777	제주도/강원도
강원도	홍천군	서석면	3337	2149	997	458	289	69	43	36	1	1	3	1	2	4	15	4	13	34	2	0	4	4	28	2008	141	1188	제주도/강원도
강원도	홍천군	동면	3259	2192	818	632	288	73	41	30	4	0	2	1	3	2	17	11	9	51	2	0	3	3	13	2003	189	1067	제주도/강원도
강원도	홍천군	남면	5303	3264	1461	767	460	96	78	52	8	1	6	1	1	10	16	12	16	33	7	2	6	10	32	3075	189	2039	제주도/강원도
강원도	홍천군	서면	3232	1787	944	239	280	45	49	11	3	3	0	0	4	3	10	4	7	25	0	1	0	2	11	1641	146	1445	제주도/강원도
강원도	홍천군	북방면	3491	2190	1030	479	304	81	50	31	3	7	2	1	3	4	7	7	6	11	2	0	3	0	21	2052	138	1301	제주도/강원도
강원도	홍천군	내면	2855	1737	824	323	255	59	65	27	3	0	0	0	1	3	12	2	9	15	1	1	2	3	25	1630	107	1118	제주도/강원도
강원도	화천군	화천읍	6649	3771	1796	764	635	181	74	52	4	6	4	2	0	9	18	6	20	9	7	1	2	5	27	3622	149	2878	제주도/강원도
강원도	화천군	간동면	2399	1540	712	247	233	82	76	19	4	3	0	1	2	6	9	2	13	2	3	1	0	2	14	1431	109	859	제주도/강원도
강원도	화천군	하남면	2356	1488	680	303	243	76	41	21	4	1	2	0	2	1	3	4	6	6	4	1	0	5	19	1422	66	868	제주도/강원도
강원도	화천군	상서면	3917	2308	1086	411	354	80	53	41	3	5	1	4	4	5	16	9	12	18	8	1	3	5	28	2147	161	1609	제주도/강원도
