광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	정당	득표수
서울특별시	1100	종로구	137653	88125	87308	817	49528	한나라당	33646
서울특별시	1100	중구	106012	65628	64896	732	40384	한나라당	24592
서울특별시	1100	용산구	182403	111594	110621	973	70809	한나라당	45258
서울특별시	1100	성동구	262021	161933	160453	1480	100088	한나라당	56435
서울특별시	1100	광진구	291768	178795	177335	1460	112973	한나라당	61097
서울특별시	1100	동대문구	298000	186434	184554	1880	111566	한나라당	67491
서울특별시	1100	중랑구	330121	191138	189308	1830	138983	한나라당	67494
서울특별시	1100	성북구	351787	213920	211902	2018	137867	한나라당	74197
서울특별시	1100	강북구	281387	166362	164681	1681	115025	한나라당	52947
서울특별시	1100	도봉구	278907	172829	171350	1479	106078	한나라당	60979
서울특별시	1100	노원구	458063	296104	293711	2393	161959	한나라당	102248
서울특별시	1100	은평구	361993	217173	215193	1980	144820	한나라당	72808
서울특별시	1100	서대문구	274126	172926	171146	1780	101200	한나라당	59920
서울특별시	1100	마포구	298654	185586	184012	1574	113068	한나라당	64058
서울특별시	1100	양천구	353003	225336	223577	1759	127667	한나라당	81621
서울특별시	1100	강서구	405394	249160	246872	2288	156234	한나라당	86529
서울특별시	1100	구로구	315195	201460	199639	1821	113735	한나라당	67756
서울특별시	1100	금천구	197115	118150	117049	1101	78965	한나라당	36766
서울특별시	1100	영등포구	312684	197985	196200	1785	114699	한나라당	71438
서울특별시	1100	동작구	321397	205586	204056	1530	115811	한나라당	69732
서울특별시	1100	관악구	417760	256780	254560	2220	160980	한나라당	74022
서울특별시	1100	서초구	303515	196218	195037	1181	107297	한나라당	96142
서울특별시	1100	강남구	400374	246937	245465	1472	153437	한나라당	126887
서울특별시	1100	송파구	457391	290110	287937	2173	167281	한나라당	115612
서울특별시	1100	강동구	353627	222632	220708	1924	130995	한나라당	82546
서울특별시	1100	종로구	137653	88125	87308	817	49528	새천년민주당	8374
서울특별시	1100	중구	106012	65628	64896	732	40384	새천년민주당	7363
서울특별시	1100	용산구	182403	111594	110621	973	70809	새천년민주당	9170
서울특별시	1100	성동구	262021	161933	160453	1480	100088	새천년민주당	15337
서울특별시	1100	광진구	291768	178795	177335	1460	112973	새천년민주당	17343
서울특별시	1100	동대문구	298000	186434	184554	1880	111566	새천년민주당	16067
서울특별시	1100	중랑구	330121	191138	189308	1830	138983	새천년민주당	14503
서울특별시	1100	성북구	351787	213920	211902	2018	137867	새천년민주당	18232
서울특별시	1100	강북구	281387	166362	164681	1681	115025	새천년민주당	17518
서울특별시	1100	도봉구	278907	172829	171350	1479	106078	새천년민주당	13039
서울특별시	1100	노원구	458063	296104	293711	2393	161959	새천년민주당	23343
서울특별시	1100	은평구	361993	217173	215193	1980	144820	새천년민주당	17322
서울특별시	1100	서대문구	274126	172926	171146	1780	101200	새천년민주당	13191
서울특별시	1100	마포구	298654	185586	184012	1574	113068	새천년민주당	14981
서울특별시	1100	양천구	353003	225336	223577	1759	127667	새천년민주당	18909
서울특별시	1100	강서구	405394	249160	246872	2288	156234	새천년민주당	20295
서울특별시	1100	구로구	315195	201460	199639	1821	113735	새천년민주당	15595
서울특별시	1100	금천구	197115	118150	117049	1101	78965	새천년민주당	10863
서울특별시	1100	영등포구	312684	197985	196200	1785	114699	새천년민주당	17840
서울특별시	1100	동작구	321397	205586	204056	1530	115811	새천년민주당	17879
서울특별시	1100	관악구	417760	256780	254560	2220	160980	새천년민주당	25137
서울특별시	1100	서초구	303515	196218	195037	1181	107297	새천년민주당	12899
서울특별시	1100	강남구	400374	246937	245465	1472	153437	새천년민주당	15843
서울특별시	1100	송파구	457391	290110	287937	2173	167281	새천년민주당	24022
서울특별시	1100	강동구	353627	222632	220708	1924	130995	새천년민주당	17978
서울특별시	1100	종로구	137653	88125	87308	817	49528	열린우리당	31439
서울특별시	1100	중구	106012	65628	64896	732	40384	열린우리당	24071
서울특별시	1100	용산구	182403	111594	110621	973	70809	열린우리당	38512
서울특별시	1100	성동구	262021	161933	160453	1480	100088	열린우리당	62335
서울특별시	1100	광진구	291768	178795	177335	1460	112973	열린우리당	69344
서울특별시	1100	동대문구	298000	186434	184554	1880	111566	열린우리당	70099
서울특별시	1100	중랑구	330121	191138	189308	1830	138983	열린우리당	75694
서울특별시	1100	성북구	351787	213920	211902	2018	137867	열린우리당	82669
서울특별시	1100	강북구	281387	166362	164681	1681	115025	열린우리당	64913
서울특별시	1100	도봉구	278907	172829	171350	1479	106078	열린우리당	65620
서울특별시	1100	노원구	458063	296104	293711	2393	161959	열린우리당	111758
서울특별시	1100	은평구	361993	217173	215193	1980	144820	열린우리당	86735
서울특별시	1100	서대문구	274126	172926	171146	1780	101200	열린우리당	67471
서울특별시	1100	마포구	298654	185586	184012	1574	113068	열린우리당	70677
서울특별시	1100	양천구	353003	225336	223577	1759	127667	열린우리당	85715
서울특별시	1100	강서구	405394	249160	246872	2288	156234	열린우리당	95333
서울특별시	1100	구로구	315195	201460	199639	1821	113735	열린우리당	78520
서울특별시	1100	금천구	197115	118150	117049	1101	78965	열린우리당	46507
서울특별시	1100	영등포구	312684	197985	196200	1785	114699	열린우리당	74041
서울특별시	1100	동작구	321397	205586	204056	1530	115811	열린우리당	78196
서울특별시	1100	관악구	417760	256780	254560	2220	160980	열린우리당	102493
